date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2015-01-02,asian_bars_insufficient,,,,,,,,,,0,
2015-01-05,range_too_large,1.53184,1.51718,146.6,,,,,,,0,
2015-01-06,signal_short,1.52729,1.52457,27.2,1.53244,1.60199,short,1.52602,1.52595,1.52308,-1,1.52457
2015-01-07,no_breakout_in_window,1.51495,1.51079,41.6,1.53244,1.60199,short,1.51376,1.51307,1.51394,0,
2015-01-08,signal_short,1.51166,1.50833,33.3,1.53244,1.60199,short,1.50865,1.5088,1.5072,-1,1.50833
2015-01-09,no_breakout_in_window,1.51034,1.50764,27.0,1.53244,1.60199,short,1.50962,1.50903,1.5095,0,
2015-01-12,signal_short,1.51929,1.51594,33.5,1.51571,1.5956,short,1.51649,1.51653,1.51562,-1,1.51594
2015-01-13,signal_short,1.51908,1.51569,33.9,1.51571,1.5956,short,1.51581,1.51517,1.5144,-1,1.51569
2015-01-14,no_breakout_in_window,1.51746,1.51443,30.3,1.51571,1.5956,short,1.51625,1.51478,1.52065,0,
2015-01-15,signal_short,1.52452,1.5229,16.2,1.51571,1.5956,short,1.52284,1.52235,1.52164,-1,1.5229
2015-01-16,no_breakout_in_window,1.51933,1.51595,33.8,1.51571,1.5956,short,1.51724,1.51729,1.52029,0,
2015-01-19,no_breakout_in_window,1.51475,1.51142,33.3,1.5145,1.58959,short,1.51434,1.5142,1.51294,0,
2015-01-20,no_breakout_in_window,1.51137,1.50577,56.0,1.5145,1.58959,short,1.50803,1.50816,1.51023,0,
2015-01-21,no_breakout_in_window,1.51734,1.51345,38.9,1.5145,1.58959,short,1.51655,1.51734,1.51648,0,
2015-01-22,signal_short,1.51575,1.51294,28.1,1.5145,1.58959,short,1.51273,1.51243,1.51301,-1,1.51294
2015-01-23,signal_short,1.50256,1.49879,37.7,1.5145,1.58959,short,1.49962,1.49876,1.49793,-1,1.49879
2015-01-26,no_breakout_in_window,1.50276,1.49858,41.8,1.49876,1.58286,short,1.50073,1.50204,1.50394,0,
2015-01-27,no_breakout_in_window,1.51065,1.50685,38.0,1.49876,1.58286,short,1.51037,1.51058,1.5077,0,
2015-01-28,no_breakout_in_window,1.51972,1.51535,43.7,1.49876,1.58286,short,1.5167,1.51823,1.51596,0,
2015-01-29,signal_short,1.51544,1.51328,21.6,1.49876,1.58286,short,1.51457,1.51475,1.51304,-1,1.51328
2015-01-30,no_breakout_in_window,1.5079,1.50623,16.7,1.49876,1.58286,short,1.50807,1.50797,1.50654,0,
2015-02-02,signal_short,1.50982,1.50711,27.1,1.50619,1.57718,short,1.5076,1.50726,1.5043,-1,1.50711
2015-02-03,signal_short,1.50433,1.50136,29.7,1.50619,1.57718,short,1.50202,1.5027,1.49987,-1,1.50136
2015-02-04,no_breakout_in_window,1.51675,1.51382,29.3,1.50619,1.57718,short,1.51694,1.51587,1.51594,0,
2015-02-05,no_breakout_in_window,1.52126,1.51642,48.4,1.50619,1.57718,short,1.52063,1.51913,1.52061,0,
2015-02-06,signal_short,1.5339,1.53178,21.2,1.50619,1.57718,short,1.53351,1.53271,1.53163,-1,1.53178
2015-02-09,no_breakout_in_window,1.52613,1.52201,41.2,1.5225,1.57313,short,1.52613,1.52481,1.52622,0,
2015-02-10,no_breakout_in_window,1.52483,1.52112,37.1,1.5225,1.57313,short,1.52415,1.52373,1.52417,0,
