hour,mean_abs_ret,mean_range,mean_volume,n_bars,range_norm,vol_norm,ret_norm,period
0,1.5930612244898135,4.32510204081631,1591.8163265306123,49,0.8644207789412165,0.27710494066524183,0.6593755877263149,post_2022
1,1.3928036175710625,3.1112790697674395,1676.0671834625323,774,0.6218244683272888,0.2917714121180125,0.576488015529581,post_2022
2,1.5229586563307427,3.0367441860465076,2255.0697674418607,774,0.6069278250489766,0.3925647473819525,0.630359802663933,post_2022
3,2.1517312661498735,4.3190826873385015,4166.652454780362,774,0.8632177427647504,0.7253349284154312,0.8906117645924365,post_2022
4,2.49220930232558,4.927002583979327,5088.914728682171,774,0.9847174404895571,0.8858832457230921,1.0315372367337576,post_2022
5,1.8882945736434158,3.932945736434101,3942.4147286821703,774,0.7860438863496148,0.6862994060692209,0.7815740695686614,post_2022
6,1.4838630490956082,3.1483333333333396,3049.923772609819,774,0.6292301838624264,0.5309337088435129,0.6141779456192109,post_2022
7,1.5555167958656342,3.2609560723514224,3040.1808785529715,774,0.6517391177256677,0.5292376563313398,0.643835770857164,post_2022
8,2.0888759689922476,4.1780878552971545,4271.041343669251,774,0.835038323784646,0.7435070481377564,0.8645956593305093,post_2022
9,2.5128294573643486,5.118294573643406,6105.565891472868,774,1.022949317830289,1.0628628729872351,1.0400720165894721,post_2022
10,2.7156589147286825,5.527338501291993,7045.489664082687,774,1.1047013937864973,1.2264857212379283,1.1240240898694231,post_2022
11,2.313462532299742,4.932519379844961,6118.6330749354,774,0.9858200348178359,1.0651376210455987,0.9575531018316523,post_2022
12,2.1059560723514235,4.449121447028419,5366.2416020671835,774,0.8892074662170304,0.9341605786750186,0.8716651950255291,post_2022
13,2.2545090439276483,4.518798449612404,5219.127906976744,774,0.9031332067613089,0.9085508829647537,0.933151973710343,post_2022
14,2.33678294573643,5.04426356589147,6214.403100775194,774,1.0081533798887523,1.081809360671291,0.9672055314303711,post_2022
15,4.817235142118863,9.682467700258389,11641.171834625324,774,1.9351511692775791,2.02650656155693,1.9938764463165763,post_2022
16,4.666291989664087,9.667855297157622,13505.501291989664,774,1.93223071451111,2.3510508541697455,1.9314003604429748,post_2022
17,4.575930232558139,9.292596899224804,13333.272609819121,774,1.8572310604950637,2.321069116981675,1.8939992011003395,post_2022
18,3.2121834625323062,6.6378165374677005,9456.011627906977,774,1.3266430450976752,1.6461117387783046,1.329537952422576,post_2022
19,2.5115762273901843,5.164198966408273,6869.573643410853,774,1.0321238322292927,1.195862088562556,1.0395532987661598,post_2022
20,2.382609819121446,4.923204134366926,6270.140826873385,774,0.9839582771815624,1.0915122384630511,0.9861734914229833,post_2022
21,2.215940337224382,4.435201037613487,5294.431906614786,771,0.8864253142501916,0.921659876762446,0.9171882032918806,post_2022
22,1.935033377837117,3.902002670226967,4582.954606141522,749,0.7798595630339613,0.7978052134785166,0.8009194820431359,post_2022
23,1.2590428571428567,2.5480285714285817,1762.2728571428572,700,0.5092524573277032,0.3067781799793888,0.5211238031150122,post_2022
