hour,mean_abs_ret,mean_range,mean_volume,n_bars,range_norm,vol_norm,ret_norm,period
0,1.6299999999999728,2.83900000000001,1351.5,20,0.8131491886307193,0.31398027984557364,0.9795209498316336,pre_2022
1,1.1123927178153474,2.351703511053317,1419.4989163415692,2307,0.6735772461828149,0.32977777801954455,0.6684736021719629,pre_2022
2,1.1619532265049808,2.474720658293634,2186.0268514508443,2309,0.7088119391965976,0.5078574343828889,0.6982561522000669,pre_2022
3,1.5823982683982676,3.3040173160173185,3583.648917748918,2310,0.9463399083273405,0.832552785840246,0.9509154937873799,pre_2022
4,1.692260718925942,3.467921177999131,4035.5877003031615,2309,0.9932854146267247,0.937547136872025,1.0169354765430243,pre_2022
5,1.1432510822510826,2.472489177489179,2987.200432900433,2310,0.7081727962569753,0.6939859621730645,0.6870174147132775,pre_2022
6,0.9379213483146063,2.074070872947275,2379.656871218669,2314,0.5940574313137296,0.5528415318991342,0.5636279815757699,pre_2022
7,1.0721521175453756,2.246551426101989,2490.221261884183,2314,0.643459481983801,0.578527834764183,0.6442916935840866,pre_2022
8,1.4077710583153322,2.891114470842334,3231.3822894168466,2315,0.8280758669263708,0.7507142549161169,0.8459762234273259,pre_2022
9,1.7368849633778543,3.5684747953468343,4540.442481688927,2321,1.0220860811854313,1.0548349249155902,1.0437516620099303,pre_2022
10,1.8773976734166302,3.921753554502372,5226.847479534684,2321,1.1232725328824344,1.2143004323599196,1.1281904001698082,pre_2022
11,1.565454545454545,3.355226195605345,4441.332615252047,2321,0.9610072062800321,1.0318097354229459,0.9407334498662023,pre_2022
12,1.4532658336923743,3.169211546747095,4127.057733735459,2321,0.9077287065292349,0.9587974414924887,0.873315539740024,pre_2022
13,1.4460663507109044,3.1266436880654886,3854.7035760448084,2321,0.8955363783331464,0.8955241639128986,0.8689891321275662,pre_2022
14,1.7838146551724137,3.813081896551722,4788.662068965517,2320,1.0921466891030314,1.112501262670867,1.0719532670908587,pre_2022
15,3.1466393795777674,6.539745799224471,8136.382593709608,2321,1.873120461602858,1.8902431991887512,1.8909197508353917,pre_2022
16,2.954101680310211,6.184700560103401,9161.133993968117,2321,1.7714280529665436,2.1283132927331905,1.775217474721921,pre_2022
17,2.856271551724143,6.014741379310347,9169.979741379311,2320,1.7227481762626995,2.130368335461722,1.7164281124674559,pre_2022
18,2.0235991379310363,4.431482758620687,6884.525,2320,1.2692696758025432,1.5994118284157217,1.2160476991808078,pre_2022
19,1.6664403114186843,3.5568079584775103,5235.840397923876,2312,1.018744454227285,1.2163896658282636,1.0014191390666136,pre_2022
20,1.676767943637162,3.5637164244826094,4956.360634081902,2271,1.0207231838950304,1.1514609684828863,1.0076253550912488,pre_2022
21,1.6026156583629847,3.410315836298931,4231.117882562277,2248,0.9767860356678262,0.9829726798568368,0.9630647925734882,pre_2022
22,1.465149220489981,2.956472160356346,3567.8975501113587,2245,0.8467956810155209,0.828893430443434,0.8804566601837103,pre_2022
23,0.9433206106870248,2.058778625954199,1318.8439885496184,2096,0.5896774108013095,0.3063936401017105,0.5668725770404458,pre_2022
