date,bar_time_gmt,bar_close,bar_high,bar_low,atr_d1,prev_high,prev_low,w1_close,w1_ema,trend_dir,threshold,allow_long,allow_short,signal,skip_reason,entry_price,sl,tp
2022.01.03,2022.01.03 01:00:00,1828.49,1831.82,1828.03,17.522,1828.57,1814.20,1828.27,1802.904,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 02:00:00,1830.23,1831.00,1827.00,17.522,1828.57,1814.20,1828.27,1803.029,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 03:00:00,1828.89,1831.56,1827.60,17.522,1828.57,1814.20,1828.27,1802.933,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 04:00:00,1826.21,1828.96,1825.71,17.522,1828.57,1814.20,1828.27,1802.737,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 05:00:00,1825.62,1826.86,1824.14,17.522,1828.57,1814.20,1828.27,1802.694,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 06:00:00,1825.09,1825.89,1824.55,17.522,1828.57,1814.20,1828.27,1802.654,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 07:00:00,1825.45,1825.70,1823.72,17.522,1828.57,1814.20,1828.27,1802.680,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 08:00:00,1825.17,1825.73,1823.61,17.522,1828.57,1814.20,1828.27,1802.661,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 09:00:00,1824.27,1825.29,1820.93,17.522,1828.57,1814.20,1828.27,1802.593,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 10:00:00,1822.82,1824.38,1821.34,17.522,1828.57,1814.20,1828.27,1802.486,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 11:00:00,1826.33,1826.69,1822.41,17.522,1828.57,1814.20,1828.27,1802.746,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 12:00:00,1826.37,1827.45,1825.47,17.522,1828.57,1814.20,1828.27,1802.752,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 13:00:00,1823.00,1827.12,1822.34,17.522,1828.57,1814.20,1828.27,1802.499,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 14:00:00,1821.82,1823.32,1821.38,17.522,1828.57,1814.20,1828.27,1802.412,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 15:00:00,1807.17,1822.07,1805.71,17.522,1828.57,1814.20,1828.27,1801.323,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 16:00:00,1802.94,1811.04,1802.84,17.522,1828.57,1814.20,1828.27,1801.013,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 17:00:00,1801.97,1806.75,1799.79,17.522,1828.57,1814.20,1828.27,1800.938,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 18:00:00,1800.73,1801.98,1798.32,17.522,1828.57,1814.20,1828.27,1800.850,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 19:00:00,1799.69,1800.97,1798.81,17.522,1828.57,1814.20,1828.27,1800.769,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 20:00:00,1801.70,1802.28,1799.12,17.522,1828.57,1814.20,1828.27,1800.923,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 21:00:00,1801.72,1803.00,1801.07,17.522,1828.57,1814.20,1828.27,1800.923,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 22:00:00,1801.68,1804.53,1801.19,17.522,1828.57,1814.20,1828.27,1800.923,LONG,17.522,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.03,2022.01.03 23:00:00,1801.20,1802.17,1800.98,19.219,1831.82,1798.32,1828.27,1800.977,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 01:00:00,1804.13,1804.27,1802.21,19.219,1831.82,1798.32,1828.27,1801.101,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 02:00:00,1804.40,1804.82,1802.92,19.219,1831.82,1798.32,1828.27,1801.117,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 03:00:00,1805.13,1806.88,1803.15,19.219,1831.82,1798.32,1828.27,1801.174,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 04:00:00,1805.39,1807.01,1804.60,19.219,1831.82,1798.32,1828.27,1801.192,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 05:00:00,1804.15,1806.11,1803.83,19.219,1831.82,1798.32,1828.27,1801.103,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 06:00:00,1803.38,1804.22,1803.16,19.219,1831.82,1798.32,1828.27,1801.047,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 07:00:00,1805.42,1805.52,1803.12,19.219,1831.82,1798.32,1828.27,1801.197,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 08:00:00,1803.47,1806.04,1803.35,19.219,1831.82,1798.32,1828.27,1801.054,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 09:00:00,1805.75,1807.35,1803.15,19.219,1831.82,1798.32,1828.27,1801.223,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 10:00:00,1804.01,1806.82,1803.33,19.219,1831.82,1798.32,1828.27,1801.094,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 11:00:00,1805.70,1806.72,1801.95,19.219,1831.82,1798.32,1828.27,1801.217,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 12:00:00,1805.67,1808.56,1805.32,19.219,1831.82,1798.32,1828.27,1801.215,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 13:00:00,1804.11,1805.67,1802.41,19.219,1831.82,1798.32,1828.27,1801.102,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 14:00:00,1801.24,1805.07,1798.51,19.219,1831.82,1798.32,1828.27,1800.887,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 15:00:00,1807.14,1807.28,1799.72,19.219,1831.82,1798.32,1828.27,1801.324,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 16:00:00,1810.15,1810.84,1806.35,19.219,1831.82,1798.32,1828.27,1801.637,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 17:00:00,1814.59,1816.74,1807.57,19.219,1831.82,1798.32,1828.27,1801.876,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 18:00:00,1812.59,1815.60,1811.67,19.219,1831.82,1798.32,1828.27,1801.729,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 19:00:00,1813.57,1815.13,1811.84,19.219,1831.82,1798.32,1828.27,1801.803,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 20:00:00,1815.08,1815.18,1813.46,19.219,1831.82,1798.32,1828.27,1801.912,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 21:00:00,1814.57,1815.27,1813.70,19.219,1831.82,1798.32,1828.27,1801.872,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 22:00:00,1815.16,1815.35,1813.45,19.219,1831.82,1798.32,1828.27,1801.917,LONG,19.219,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.04,2022.01.04 23:00:00,1814.36,1815.36,1814.07,18.871,1816.74,1798.51,1828.27,1801.820,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 01:00:00,1813.92,1813.99,1813.06,18.871,1816.74,1798.51,1828.27,1801.829,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 02:00:00,1812.94,1814.66,1812.76,18.871,1816.74,1798.51,1828.27,1801.754,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 03:00:00,1815.25,1815.44,1812.69,18.871,1816.74,1798.51,1828.27,1801.928,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 04:00:00,1815.65,1816.25,1814.11,18.871,1816.74,1798.51,1828.27,1801.956,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 05:00:00,1815.42,1816.61,1814.44,18.871,1816.74,1798.51,1828.27,1801.937,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 06:00:00,1814.99,1815.43,1814.62,18.871,1816.74,1798.51,1828.27,1801.904,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 07:00:00,1815.81,1816.22,1814.21,18.871,1816.74,1798.51,1828.27,1801.963,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 08:00:00,1813.09,1817.07,1812.68,18.871,1816.74,1798.51,1828.27,1801.767,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 09:00:00,1813.51,1815.78,1812.49,18.871,1816.74,1798.51,1828.27,1801.796,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 10:00:00,1816.85,1817.69,1813.38,18.871,1816.74,1798.51,1828.27,1802.043,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 11:00:00,1817.79,1820.23,1816.29,18.871,1816.74,1798.51,1828.27,1802.110,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 12:00:00,1818.43,1820.06,1817.73,18.871,1816.74,1798.51,1828.27,1802.161,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 13:00:00,1818.67,1820.77,1817.82,18.871,1816.74,1798.51,1828.27,1802.180,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 14:00:00,1817.95,1819.25,1817.04,18.871,1816.74,1798.51,1828.27,1802.122,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 15:00:00,1825.54,1827.89,1815.02,18.871,1816.74,1798.51,1828.27,1802.687,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 16:00:00,1825.85,1829.60,1825.08,18.871,1816.74,1798.51,1828.27,1802.710,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 17:00:00,1823.36,1826.66,1820.43,18.871,1816.74,1798.51,1828.27,1802.517,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 18:00:00,1823.99,1825.43,1822.42,18.871,1816.74,1798.51,1828.27,1802.572,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 19:00:00,1822.84,1825.58,1822.57,18.871,1816.74,1798.51,1828.27,1802.482,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 20:00:00,1823.86,1824.94,1822.65,18.871,1816.74,1798.51,1828.27,1802.563,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 21:00:00,1812.94,1824.46,1812.40,18.871,1816.74,1798.51,1828.27,1801.757,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 22:00:00,1810.01,1814.30,1808.32,18.871,1816.74,1798.51,1828.27,1801.529,LONG,18.871,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.05,2022.01.05 23:00:00,1810.53,1810.87,1808.87,18.355,1829.60,1808.32,1828.27,1801.540,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 01:00:00,1810.28,1811.39,1809.93,18.355,1829.60,1808.32,1828.27,1801.563,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 02:00:00,1809.30,1810.47,1807.79,18.355,1829.60,1808.32,1828.27,1801.483,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 03:00:00,1810.26,1811.58,1807.11,18.355,1829.60,1808.32,1828.27,1801.552,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 04:00:00,1809.29,1810.27,1808.11,18.355,1829.60,1808.32,1828.27,1801.483,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 05:00:00,1806.98,1809.43,1806.60,18.355,1829.60,1808.32,1828.27,1801.314,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 06:00:00,1805.42,1807.05,1805.39,18.355,1829.60,1808.32,1828.27,1801.205,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 07:00:00,1803.02,1807.61,1803.02,18.355,1829.60,1808.32,1828.27,1801.019,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 08:00:00,1802.16,1803.89,1799.59,18.355,1829.60,1808.32,1828.27,1800.955,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 09:00:00,1801.00,1803.71,1799.49,18.355,1829.60,1808.32,1828.27,1800.869,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 10:00:00,1795.43,1802.07,1794.58,18.355,1829.60,1808.32,1828.27,1800.461,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 11:00:00,1794.88,1796.43,1793.75,18.355,1829.60,1808.32,1828.27,1800.415,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 12:00:00,1801.29,1807.15,1793.93,18.355,1829.60,1808.32,1828.27,1800.889,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 13:00:00,1797.44,1801.72,1797.04,18.355,1829.60,1808.32,1828.27,1800.605,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 14:00:00,1791.74,1800.46,1791.74,18.355,1829.60,1808.32,1828.27,1800.188,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 15:00:00,1788.44,1793.23,1786.92,18.355,1829.60,1808.32,1828.27,1799.942,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
2022.01.06,2022.01.06 16:00:00,1791.79,1795.55,1787.10,18.355,1829.60,1808.32,1828.27,1800.335,LONG,18.355,YES,NO,NONE,NO_BREAKOUT,,,
