date,bar_time_gmt,bar_close,bar_high,bar_low,atr_d1,prev_high,prev_low,w1_close,w1_ema,trend_dir,threshold,allow_long,allow_short,signal,skip_reason,entry_price,sl,tp
2025-01-02,2025-01-02 01:00:00,2623.74,2625.29,2621.48,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 02:00:00,2625.33,2627.8,2622.82,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 03:00:00,2632.9,2634.35,2623.8,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 04:00:00,2634.72,2636.37,2632.31,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 05:00:00,2633.66,2635.32,2632.3,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 06:00:00,2633.96,2634.2,2631.1,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 07:00:00,2634.03,2636.5,2633.06,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 08:00:00,2634.06,2635.43,2631.15,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 09:00:00,2635.97,2636.0,2632.96,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 10:00:00,2636.37,2637.84,2631.22,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 11:00:00,2636.09,2639.97,2636.03,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 12:00:00,2642.74,2646.37,2632.76,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 13:00:00,2642.01,2644.69,2640.33,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 14:00:00,2643.39,2646.45,2640.39,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 15:00:00,2642.99,2647.38,2636.02,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 16:00:00,2647.73,2651.06,2640.37,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 17:00:00,2654.1,2655.78,2645.2,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 18:00:00,2659.33,2660.45,2650.07,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 19:00:00,2656.52,2660.42,2652.61,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 20:00:00,2655.47,2658.72,2653.78,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 21:00:00,2654.73,2657.16,2653.85,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 22:00:00,2659.69,2660.46,2654.13,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-02,2025-01-02 23:00:00,2657.98,2660.21,2656.46,34.866,2627.58,2602.59,2621.54,2568.082,LONG,34.866,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 01:00:00,2658.38,2659.53,2657.43,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 02:00:00,2660.75,2661.15,2658.4,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 03:00:00,2659.38,2662.34,2656.79,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 04:00:00,2662.44,2664.04,2656.24,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 05:00:00,2662.26,2665.15,2661.32,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 06:00:00,2662.9,2664.32,2661.7,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 07:00:00,2658.56,2662.9,2655.96,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 08:00:00,2659.56,2660.28,2656.73,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 09:00:00,2654.17,2659.44,2651.99,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 10:00:00,2652.96,2655.77,2649.91,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 11:00:00,2653.61,2655.95,2652.84,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 12:00:00,2657.64,2657.94,2653.09,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 13:00:00,2657.62,2659.24,2656.34,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 14:00:00,2655.31,2658.32,2654.81,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 15:00:00,2649.82,2656.36,2643.48,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 16:00:00,2647.11,2652.67,2645.12,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 17:00:00,2643.84,2648.29,2641.03,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 18:00:00,2639.95,2647.27,2639.04,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 19:00:00,2641.85,2642.59,2639.04,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 20:00:00,2641.89,2642.36,2639.73,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 21:00:00,2639.56,2642.99,2639.13,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 22:00:00,2638.19,2640.11,2636.89,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-03,2025-01-03 23:00:00,2639.98,2640.77,2636.51,34.421,2660.46,2621.48,2621.54,2568.082,LONG,34.421,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 01:00:00,2641.01,2642.32,2639.04,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 02:00:00,2643.24,2643.34,2638.65,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 03:00:00,2641.3,2647.41,2640.75,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 04:00:00,2644.51,2645.29,2639.73,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 05:00:00,2640.24,2645.33,2639.21,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 06:00:00,2635.47,2640.81,2633.99,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 07:00:00,2633.91,2636.2,2631.7,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 08:00:00,2631.52,2635.36,2630.25,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 09:00:00,2626.9,2633.67,2625.18,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 10:00:00,2631.52,2632.55,2625.83,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 11:00:00,2632.72,2635.74,2631.2,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 12:00:00,2633.79,2635.07,2630.95,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 13:00:00,2645.62,2649.45,2632.58,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 14:00:00,2645.43,2647.76,2642.05,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 15:00:00,2624.12,2648.89,2621.89,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 16:00:00,2631.51,2634.82,2614.45,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 17:00:00,2634.4,2639.6,2629.49,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
2025-01-06,2025-01-06 18:00:00,2640.86,2641.28,2632.55,34.462,2665.15,2636.51,2639.98,2573.408,LONG,34.462,YES,NO,NONE,NO_BREAKOUT,,,
