bar_time_gmt,date,py_signal,mql_signal,py_skip,mql_skip,py_trend,mql_trend,divergences
2022-01-03 01:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.904 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 02:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1803.029 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 03:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.933 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 04:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.737 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 05:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.694 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 06:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.654 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 07:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.680 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 08:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.661 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 09:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.593 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 10:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.486 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 11:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.746 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 12:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.752 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 13:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.499 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 14:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1802.412 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 15:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1801.323 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 16:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1801.013 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 17:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | w1_ema: PY=1800.830 vs MQL=1800.938 | threshold: PY=19.643 vs MQL=17.522
2022-01-03 18:00:00,2022-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=19.643 vs MQL=17.522 | threshold: PY=19.643 vs MQL=17.522
